Name,Documentation,DisplayName,Category,Subsystem,Scope,Quantity,IdentificationKey
OAKDLite,BillieBot hardware component. Display name: Luxonis OAK-D Lite (Auto-Focus). Category: Smart stereo camera; subsystem: Perception; scope: on_robot_baseline; quantity: 1.,Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,OAKDLite
MLX90640ThermalCamera,BillieBot hardware component. Display name: Adafruit MLX90640 55° Thermal Camera (PID 4407). Category: Thermal imager; subsystem: Perception; scope: on_robot_baseline; quantity: 1.,Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,MLX90640ThermalCamera
RaspberryPiCameraModule3NoIR,BillieBot hardware component. Display name: Raspberry Pi Camera Module 3 NoIR (SC0873). Category: Visible/NIR camera; subsystem: Perception; scope: on_robot_baseline; quantity: 1.,Raspberry Pi Camera Module 3 NoIR (SC0873),Visible/NIR camera,Perception,on_robot_baseline,1,RaspberryPiCameraModule3NoIR
ReSpeakerXVF3800,BillieBot hardware component. Display name: Seeed reSpeaker XVF3800 USB 4-Mic Array. Category: Microphone array; subsystem: Audio; scope: on_robot_baseline; quantity: 1.,Seeed reSpeaker XVF3800 USB 4-Mic Array,Microphone array,Audio,on_robot_baseline,1,ReSpeakerXVF3800
SEN0253IMU,BillieBot hardware component. Display name: DFRobot SEN0253 10-DOF IMU AHRS (BNO055 + BMP280). Category: IMU + barometer; subsystem: Perception / State Estimation; scope: on_robot_baseline; quantity: 1.,DFRobot SEN0253 10-DOF IMU AHRS (BNO055 + BMP280),IMU + barometer,Perception / State Estimation,on_robot_baseline,1,SEN0253IMU
RPLIDARA1,BillieBot hardware component. Display name: SLAMTEC RPLIDAR A1. Category: 2-D lidar; subsystem: Perception / Navigation; scope: on_robot_baseline; quantity: 1.,SLAMTEC RPLIDAR A1,2-D lidar,Perception / Navigation,on_robot_baseline,1,RPLIDARA1
JetsonOrinNanoSuperDevKit,BillieBot hardware component. Display name: NVIDIA Jetson Orin Nano Super Developer Kit. Category: Single-board AI computer; subsystem: Compute & Comms; scope: on_robot_baseline; quantity: 1.,NVIDIA Jetson Orin Nano Super Developer Kit,Single-board AI computer,Compute & Comms,on_robot_baseline,1,JetsonOrinNanoSuperDevKit
RaspberryPi5,BillieBot hardware component. Display name: Raspberry Pi 5 (4 GB). Category: Single-board computer; subsystem: Compute & Comms; scope: on_robot_baseline; quantity: 1.,Raspberry Pi 5 (4 GB),Single-board computer,Compute & Comms,on_robot_baseline,1,RaspberryPi5
ArduinoNanoV3,BillieBot hardware component. Display name: Arduino Nano V3 (ATmega328P). Category: Microcontroller board; subsystem: Compute & Comms / Mobility; scope: on_robot_baseline; quantity: 2.,Arduino Nano V3 (ATmega328P),Microcontroller board,Compute & Comms / Mobility,on_robot_baseline,2,ArduinoNanoV3
JGA25371Gearmotor,BillieBot hardware component. Display name: JGA25-371 12 V 130 RPM Gearmotor with Encoder. Category: Encoder gearmotor; subsystem: Mobility; scope: on_robot_baseline; quantity: 2.,JGA25-371 12 V 130 RPM Gearmotor with Encoder,Encoder gearmotor,Mobility,on_robot_baseline,2,JGA25371Gearmotor
L298NMotorDriver,BillieBot hardware component. Display name: L298N Dual H-Bridge Motor Driver. Category: Motor driver; subsystem: Mobility; scope: on_robot_baseline; quantity: 1.,L298N Dual H-Bridge Motor Driver,Motor driver,Mobility,on_robot_baseline,1,L298NMotorDriver
DriveWheel68mm,BillieBot hardware component. Display name: Drive Wheel Ø68 mm. Category: Wheel; subsystem: Mobility; scope: on_robot_baseline; quantity: 2.,Drive Wheel Ø68 mm,Wheel,Mobility,on_robot_baseline,2,DriveWheel68mm
CasterWheel,BillieBot hardware component. Display name: Caster Wheel (model unspecified). Category: Caster; subsystem: Mobility; scope: on_robot_baseline; quantity: 1.,Caster Wheel (model unspecified),Caster,Mobility,on_robot_baseline,1,CasterWheel
MAX98357AAudioAmplifier,BillieBot hardware component. Display name: MAX98357A I²S Class-D Audio Amplifier. Category: Audio amplifier; subsystem: Audio; scope: on_robot_baseline; quantity: 1.,MAX98357A I²S Class-D Audio Amplifier,Audio amplifier,Audio,on_robot_baseline,1,MAX98357AAudioAmplifier
Speaker3W,BillieBot hardware component. Display name: 3 W Speaker (model unspecified). Category: Speaker; subsystem: Audio; scope: on_robot_baseline; quantity: 1.,3 W Speaker (model unspecified),Speaker,Audio,on_robot_baseline,1,Speaker3W
Venom3SLiPoBattery,BillieBot hardware component. Display name: Venom 3S LiPo Battery 11.1 V 4000 mAh 20C (repo baseline). Category: Battery; subsystem: Power; scope: on_robot_repo_baseline; quantity: 1.,Venom 3S LiPo Battery 11.1 V 4000 mAh 20C (repo baseline),Battery,Power,on_robot_repo_baseline,1,Venom3SLiPoBattery
GeeekPiUSBCPDPowerBoard,BillieBot hardware component. Display name: GeeekPi USB-C PD Power Board (exact SKU unspecified). Category: DC power converter; subsystem: Power; scope: on_robot_baseline; quantity: 1.,GeeekPi USB-C PD Power Board (exact SKU unspecified),DC power converter,Power,on_robot_baseline,1,GeeekPiUSBCPDPowerBoard
GS2678BuckConverter,BillieBot hardware component. Display name: DFRobot GS2678 DC-DC Converter Module (DFR0205). Category: DC-DC buck converter; subsystem: Power; scope: on_robot_baseline; quantity: 1.,DFRobot GS2678 DC-DC Converter Module (DFR0205),DC-DC buck converter,Power,on_robot_baseline,1,GS2678BuckConverter
PololuD24V90F5Regulator,BillieBot hardware component. Display name: Pololu D24V90F5 5 V 9 A Step-Down Regulator. Category: DC-DC buck converter; subsystem: Power; scope: future_reserved; quantity: 1.,Pololu D24V90F5 5 V 9 A Step-Down Regulator,DC-DC buck converter,Power,future_reserved,1,PololuD24V90F5Regulator
OpalGLSFT1200Router,BillieBot hardware component. Display name: GL.iNet Opal GL-SFT1200 Router. Category: Wi-Fi router; subsystem: Support Segment; scope: offboard_support; quantity: 1.,GL.iNet Opal GL-SFT1200 Router,Wi-Fi router,Support Segment,offboard_support,1,OpalGLSFT1200Router
RaspberryPiCameraModule2,BillieBot hardware component. Display name: Raspberry Pi Camera Module 2 (optional spare). Category: Visible-light camera; subsystem: Perception; scope: optional_spare; quantity: 1.,Raspberry Pi Camera Module 2 (optional spare),Visible-light camera,Perception,optional_spare,1,RaspberryPiCameraModule2
SPH0645I2SMicrophone,BillieBot hardware component. Display name: Knowles SPH0645LM4H-B I²S MEMS Microphone (optional spare). Category: MEMS microphone; subsystem: Audio; scope: optional_spare; quantity: 1.,Knowles SPH0645LM4H-B I²S MEMS Microphone (optional spare),MEMS microphone,Audio,optional_spare,1,SPH0645I2SMicrophone
