Owner,Name,Type,Default Value,Unit,RecommendedValueType,Documentation,OriginalProperty,PropertyGroup,Provenance,IdentificationKey,SourceName,SourceURL
OAKDLite,manufacturer,String,Luxonis,,String,Source property 'manufacturer' from Luxonis OAK-D Lite (Auto-Focus).,manufacturer,Identification,manufacturer-stated,OAKDLite::manufacturer,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,productFamily,String,OAK-D Lite,,String,Auto-focus BillieBot variant.,product_family,Identification,manufacturer-stated,OAKDLite::productFamily,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,sku,String,A00483,,String,OAK-D-LITE-AF.,sku,Identification,manufacturer-stated,OAKDLite::sku,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,architecture,String,RVC2 / Intel Movidius Myriad X,,String,"On-device stereo, encoding, and NN inference.",architecture,Compute,manufacturer-stated,OAKDLite::architecture,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,aggregateCompute,Real,4,TOPS,ComputeThroughput_TOPS,Total VPU compute.,aggregate_compute,Compute,manufacturer-stated,OAKDLite::aggregateCompute,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,neuralInferenceCompute,Real,1.4,TOPS,ComputeThroughput_TOPS,Approximate allocation available for neural inference.,neural_inference_compute,Compute,manufacturer-stated,OAKDLite::neuralInferenceCompute,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,dimensions,String,91 x 28 x 17.5,mm,String,Housing dimensions.,dimensions,Mechanical,manufacturer-stated,OAKDLite::dimensions,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,mass,Real,61,g,Mass_g,Approximate mass from legacy Luxonis product documentation.,mass,Mechanical,manufacturer-stated,OAKDLite::mass,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,supplyVoltageNominal,Real,5,V,Voltage_V,USB-C VBUS.,supply_voltage_nominal,Electrical,manufacturer-stated,OAKDLite::supplyVoltageNominal,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,inputCurrentAbsoluteMax,Real,1.5,A,Current_A,Absolute maximum input-current rating; not a normal design point.,input_current_absolute_max,Electrical,manufacturer-stated,OAKDLite::inputCurrentAbsoluteMax,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
