component,category,subsystem,scope,quantity,property_group,property,value,units,value_type,provenance,notes,source_name,source_url
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Identification,manufacturer,Luxonis,,string,manufacturer-stated,,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Identification,product_family,OAK-D Lite,,string,manufacturer-stated,Auto-focus BillieBot variant.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Identification,sku,A00483,,string,manufacturer-stated,OAK-D-LITE-AF.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Compute,architecture,RVC2 / Intel Movidius Myriad X,,string,manufacturer-stated,"On-device stereo, encoding, and NN inference.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Compute,aggregate_compute,4,TOPS,number,manufacturer-stated,Total VPU compute.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Compute,neural_inference_compute,1.4,TOPS,number,manufacturer-stated,Approximate allocation available for neural inference.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Mechanical,dimensions,91 x 28 x 17.5,mm,string,manufacturer-stated,Housing dimensions.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Mechanical,mass,61,g,number,manufacturer-stated,Approximate mass from legacy Luxonis product documentation.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Electrical,supply_voltage_nominal,5,V,number,manufacturer-stated,USB-C VBUS.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Electrical,input_current_absolute_max,1.5,A,number,manufacturer-stated,Absolute maximum input-current rating; not a normal design point.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Electrical,power_idle,2.5,W,number,manufacturer-stated,VPU booted with no active pipeline.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Electrical,power_min,4,W,number,manufacturer-stated,Recommended operating-condition power from attached sensor reference.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Electrical,power_typical,5,W,number,manufacturer-stated,Recommended operating-condition typical power.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Electrical,power_max,6,W,number,manufacturer-stated,Recommended operating-condition maximum; pipeline dependent.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Environmental,operating_temperature,-20 to 50,degC,range,manufacturer-stated,At full VPU utilization.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Interface,host_interface,USB-C; USB 2 / USB 3,,string,manufacturer-stated,USB 3 preferred for concurrent RGB/depth streams.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - RGB,rgb_sensor_model,Sony IMX214,,string,manufacturer-stated,Center color camera.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - RGB,rgb_resolution,4208 x 3120,pixels,string,manufacturer-stated,Approximately 13.1 MP native active image.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - RGB,rgb_pixel_pitch,1.12 x 1.12,um,string,manufacturer-stated,Pixel pitch.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - RGB,rgb_fov_diagonal,81,deg,number,manufacturer-stated,Approximate diagonal field of view.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - RGB,rgb_fov_horizontal,69,deg,number,manufacturer-stated,Approximate horizontal field of view.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - RGB,rgb_fov_vertical,54,deg,number,manufacturer-stated,Approximate vertical field of view.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - RGB,rgb_focal_length,3.37,mm,number,manufacturer-stated,Approximate effective focal length.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - RGB,rgb_f_number,2.2,,number,manufacturer-stated,Lens f-number.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
