SignalID,Name,Category,Subcategory,Description,SentBy,ReceivedBy,Direction,Interface,Protocol,DataType,ROSMessageType,Units,Rate,RateBasis,PhysicalMedium,SystemBoundary,SysMLRepresentation,ImplementationStatus,EvidenceType,SourceFile,SourceLocation,Confidence,Notes
SIG-0001,Velocity Command,ROS,Command,Desired planar body linear and angular velocity delivered to the differential-drive base.,Nav2 controller_server,base_bridge,Internal,/cmd_vel,ROS 2 / DDS,linear.x + angular.z,geometry_msgs/msg/Twist,m/s; rad/s,20,Configured controller_frequency=20 Hz,DDS/Ethernet or DDS/Wi-Fi,Internal,ItemFlow,Production,Source Code,billiebot_ws/src/billiebot_navigation/config/nav2_params.yaml,controller_server.ros__parameters.controller_frequency,High,
SIG-0001,Velocity Command,ROS,Command,Desired planar body linear and angular velocity delivered to the differential-drive base.,Operator Teleop,base_bridge,Inbound,/cmd_vel,ROS 2 / DDS,linear.x + angular.z,geometry_msgs/msg/Twist,m/s; rad/s,,Operator-driven / asynchronous,DDS/Ethernet or DDS/Wi-Fi,External-to-BillieBot,ItemFlow,Production,Documentation,docs/md/MBSE_SYSTEM_DECOMPOSITION.md,§3.8 IBD-03 c1; PLT-05,Medium,Standard teleop is intended; no bespoke teleop node is present.
SIG-0001,Velocity Command,ROS,Command,Desired planar body linear and angular velocity delivered to the differential-drive base.,retreat_server,base_bridge,Internal,/cmd_vel,ROS 2 / DDS,linear.x + angular.z,geometry_msgs/msg/Twist,m/s; rad/s,,Action-driven open-loop retreat,DDS/Ethernet or DDS/Wi-Fi,Internal,ItemFlow,Production,Source Code,billiebot_ws/src/billiebot_mission/billiebot_mission/retreat_server.py,cmd_vel publisher,High,
SIG-0002,Wheel Odometry,ROS,Telemetry,Raw planar odometry integrated from wheel encoders.,base_bridge,ekf_filter_node,Internal,/odom,ROS 2 / DDS,pose + twist + covariance,nav_msgs/msg/Odometry,m; m/s; rad; rad/s,30,base_bridge publish/update rate 30 Hz,DDS/Ethernet or DDS/Wi-Fi,Internal,ItemFlow,Production,Source Code,billiebot_ws/src/billiebot_base/billiebot_base/base_bridge.py,BaseBridge.update() odometry publisher,High,
SIG-0003,Wheel Joint States,ROS,Telemetry,Left/right wheel joint positions and velocities.,base_bridge,robot_state_publisher,Internal,/joint_states,ROS 2 / DDS,joint state,sensor_msgs/msg/JointState,rad; rad/s,30,base_bridge publish/update rate 30 Hz,DDS/Ethernet or DDS/Wi-Fi,Internal,ItemFlow,Production,Source Code,billiebot_ws/src/billiebot_base/billiebot_base/base_bridge.py,BaseBridge.update() joint-state publisher,High,
SIG-0004,Battery State,ROS,Telemetry,Battery state computed by the Sensor Nano bench bridge.,SensorNanoBridge,Bench Test Recorder,Internal,/battery_state,ROS 2 / DDS,battery state,sensor_msgs/msg/BatteryState,V,5,firmware BATT_PERIOD_US=200000,DDS/Ethernet or DDS/Wi-Fi,Internal,ItemFlow,Test/Bench Only,Firmware; Source Code; Test,billiebot_ws/src/billiebot_sensor_tests/billiebot_sensor_tests/sensor_nano/sensor_nano_bridge.py,battery publisher,High,Same ROS topic as production base_bridge; current full bringup does not launch SensorNanoBridge.
SIG-0004,Battery State,ROS,Telemetry,Battery state injected into mission safety logic during bench validation.,SensorNanoBridge,mission_controller,Internal,/battery_state,ROS 2 / DDS,battery state,sensor_msgs/msg/BatteryState,V,5,Battery SAFE bench launch; firmware BATT_PERIOD_US=200000,DDS/Ethernet or DDS/Wi-Fi,Internal,ItemFlow,Test/Bench Only,Launch File; Firmware; Test,billiebot_ws/src/billiebot_sensor_tests/launch/sensor_nano_battery_safe_bench.launch.py,bench launch,High,Bench-only alternative publisher.
SIG-0004,Battery State,ROS,Telemetry,Battery-pack state estimate containing voltage and health.,base_bridge,mission_controller,Internal,/battery_state,ROS 2 / DDS,battery state,sensor_msgs/msg/BatteryState,V,1,battery_read_interval_sec=1.0,DDS/Ethernet or DDS/Wi-Fi,Internal,ItemFlow,Production,Source Code,billiebot_ws/src/billiebot_base/billiebot_base/base_bridge.py,BaseBridge.read_battery(),High,
SIG-0005,Laser Scan,ROS,Measurement,Synthetic planar scan used by mock bringup.,mock_scan,Nav2 global_costmap obstacle_layer,Internal,/scan,ROS 2 / DDS,polar range scan,sensor_msgs/msg/LaserScan,m; rad,10,Mock publisher 10 Hz,DDS/Ethernet or DDS/Wi-Fi,Internal,ItemFlow,Test/Bench Only,Source Code; Launch File; Test,billiebot_ws/src/billiebot_base/billiebot_base/mock_scan.py,mock publisher timer,High,
SIG-0005,Laser Scan,ROS,Measurement,Synthetic planar scan used by mock bringup.,mock_scan,Nav2 local_costmap obstacle_layer,Internal,/scan,ROS 2 / DDS,polar range scan,sensor_msgs/msg/LaserScan,m; rad,10,Mock publisher 10 Hz,DDS/Ethernet or DDS/Wi-Fi,Internal,ItemFlow,Test/Bench Only,Source Code; Launch File; Test,billiebot_ws/src/billiebot_base/billiebot_base/mock_scan.py,mock publisher timer,High,
