component,category,property,value,units,value_type,provenance,notes
OAK-D Lite,Sensor - Vision,Manufacturer Part Number,OAK-D-LITE-AF,n/a,String,Datasheet,Luxonis SKU A00483. Auto-focus variant.
OAK-D Lite,Sensor - Vision,Vision Processor,Intel Movidius Myriad X,n/a,String,Datasheet,Luxonis RVC2 platform.
OAK-D Lite,Sensor - Vision,Length,91,mm,Real,Datasheet,Longest dimension of the aluminium housing.
OAK-D Lite,Sensor - Vision,Width,28,mm,Real,Datasheet,
OAK-D Lite,Sensor - Vision,Height,17.5,mm,Real,Datasheet,
OAK-D Lite,Sensor - Vision,Mass,61,g,Real,Datasheet,Stated in legacy Luxonis product documentation.
OAK-D Lite,Sensor - Vision,Supply Voltage Nominal,5,V,Real,Datasheet,Delivered over USB-C VBUS.
OAK-D Lite,Sensor - Vision,Supply Voltage Min,3.5,V,Real,Datasheet,Absolute minimum rating.
OAK-D Lite,Sensor - Vision,Supply Voltage Max,5.5,V,Real,Datasheet,Absolute maximum. 5.25 V is the recommended ceiling.
OAK-D Lite,Sensor - Vision,Input Current Max,1.5,A,Real,Datasheet,Absolute maximum rating.
OAK-D Lite,Sensor - Vision,Power Consumption Min,4,W,Real,Datasheet,"Recommended operating conditions, active pipeline."
OAK-D Lite,Sensor - Vision,Power Consumption Typical,5,W,Real,Datasheet,
OAK-D Lite,Sensor - Vision,Power Consumption Max,6,W,Real,Datasheet,"Peak with AI, depth and encoder subsystems saturated."
OAK-D Lite,Sensor - Vision,Idle Power,2.5,W,Real,Datasheet,"VPU booted, no pipeline running."
OAK-D Lite,Sensor - Vision,Operating Current Typical,0.9,A,Real,Calculated,4-5 W divided by 5 V. Dominates the sensor power budget (~60-70% of suite).
OAK-D Lite,Sensor - Vision,Peak Current,1.2,A,Real,Calculated,6 W divided by 5 V. Exceeds the USB2 900 mA ceiling - requires Y-adapter or powered hub.
OAK-D Lite,Sensor - Vision,Operating Temperature Min,-20,degC,Real,Datasheet,At full VPU utilisation.
OAK-D Lite,Sensor - Vision,Operating Temperature Max,50,degC,Real,Datasheet,At full VPU utilisation; lighter pipelines tolerate more.
OAK-D Lite,Sensor - Vision,VPU Thermal Shutdown Temperature,105,degC,Real,Datasheet,Junction temperature. DepthAI shuts the device down automatically.
OAK-D Lite,Sensor - Vision,Host Interface,USB-C USB 3.1 Gen1,n/a,String,Datasheet,Luxonis docs cite up to 10 Gbps; datasheet cites USB 3.1 Gen1.
OAK-D Lite,Sensor - Vision,Stereo Baseline,75,mm,Real,Datasheet,Distance between the two mono cameras.
OAK-D Lite,Sensor - Vision,Calibration EEPROM Size,32,kbit,Real,Datasheet,I2C EEPROM storing factory calibration.
OAK-D Lite RGB Camera,Sensor - Vision,Image Sensor,Sony IMX214,n/a,String,Datasheet,Colour camera of the OAK-D Lite.
OAK-D Lite RGB Camera,Sensor - Vision,Resolution,13.1,MP,Real,Datasheet,
OAK-D Lite RGB Camera,Sensor - Vision,Pixel Array Width,4208,pixel,Integer,Datasheet,
OAK-D Lite RGB Camera,Sensor - Vision,Pixel Array Height,3120,pixel,Integer,Datasheet,
OAK-D Lite RGB Camera,Sensor - Vision,Optical Format,1/3.06,inch,String,Conflict,Luxonis docs say 1/3.06 in; datasheet says 1/3.1 in. Negligible practical difference.
OAK-D Lite RGB Camera,Sensor - Vision,Effective Focal Length,3.37,mm,Real,Datasheet,
OAK-D Lite RGB Camera,Sensor - Vision,Field of View Diagonal,81,deg,Real,Datasheet,Datasheet states 81.3 deg.
OAK-D Lite RGB Camera,Sensor - Vision,Field of View Horizontal,69,deg,Real,Datasheet,
OAK-D Lite RGB Camera,Sensor - Vision,Field of View Vertical,54,deg,Real,Datasheet,
OAK-D Lite RGB Camera,Sensor - Vision,Shutter Type,Rolling,n/a,String,Datasheet,Electronic rolling shutter.
OAK-D Lite RGB Camera,Sensor - Vision,Focus Type,Auto-focus,n/a,String,Datasheet,Software-settable to a fixed lens position via the DepthAI API.
OAK-D Lite RGB Camera,Sensor - Vision,Focus Range Min,0.08,m,Real,Datasheet,8 cm. Reason to choose AF over the fixed-focus variant.
OAK-D Lite RGB Camera,Sensor - Vision,Max Frame Rate,60,fps,Real,Datasheet,Sensor-level maximum at full resolution.
OAK-D Lite RGB Camera,Sensor - Vision,Default Pixel Format,NV12,n/a,String,Datasheet,"YUV 4:2:0 semi-planar, 8-bit. BGR/RGB/GRAY8/YUV420p also selectable."
OAK-D Lite RGB Camera,Sensor - Vision,Infrared Sensitive,FALSE,n/a,Boolean,Datasheet,IR cut filter fitted.
OAK-D Lite RGB Camera,Sensor - Vision,Bandwidth at 1080p30 NV12,93,MB/s,Real,Calculated,1920 x 1080 x 1.5 bytes x 30 fps. Use on-device H.265 encoding to avoid this.
OAK-D Lite Mono Camera,Sensor - Vision,Image Sensor,OmniVision OV7251,n/a,String,Datasheet,"Two identical units, left and right."
OAK-D Lite Mono Camera,Sensor - Vision,Quantity,2,count,Integer,Datasheet,Left and right of the stereo pair.
OAK-D Lite Mono Camera,Sensor - Vision,Pixel Array Width,640,pixel,Integer,Datasheet,
OAK-D Lite Mono Camera,Sensor - Vision,Pixel Array Height,480,pixel,Integer,Datasheet,
OAK-D Lite Mono Camera,Sensor - Vision,Optical Format,1/7.5,inch,String,Datasheet,
OAK-D Lite Mono Camera,Sensor - Vision,Effective Focal Length,1.3,mm,Real,Datasheet,
OAK-D Lite Mono Camera,Sensor - Vision,Field of View Diagonal,86,deg,Real,Datasheet,Datasheet states 85.6 deg.
OAK-D Lite Mono Camera,Sensor - Vision,Field of View Horizontal,73,deg,Real,Datasheet,Datasheet states 72.9 deg.
OAK-D Lite Mono Camera,Sensor - Vision,Field of View Vertical,58,deg,Real,Datasheet,Datasheet states 57.7 deg.
OAK-D Lite Mono Camera,Sensor - Vision,Shutter Type,Global,n/a,String,Datasheet,Important on a moving platform - no rolling-shutter skew.
OAK-D Lite Mono Camera,Sensor - Vision,Focus Type,Fixed,n/a,String,Datasheet,
OAK-D Lite Mono Camera,Sensor - Vision,Focus Range Min,0.065,m,Real,Datasheet,6.5 cm to infinity.
OAK-D Lite Mono Camera,Sensor - Vision,Max Frame Rate,120,fps,Real,Datasheet,
OAK-D Lite Mono Camera,Sensor - Vision,Output Pixel Format,GRAY8,n/a,String,Datasheet,8-bit luminance. Native sensor output is 8- or 10-bit RAW.
OAK-D Lite Mono Camera,Sensor - Vision,Infrared Sensitive,FALSE,n/a,Boolean,Datasheet,OAK-D Lite has no IR dot projector and no IR illuminator.
OAK-D Lite Stereo Depth,Sensor - Vision,Stereo Baseline,75,mm,Real,Datasheet,
OAK-D Lite Stereo Depth,Sensor - Vision,Depth Range Min,0.8,m,Real,Conflict,Luxonis hardware docs say 0.8-12 m; the shop page says 0.4-8 m. Characterise on the robot before fixing nav thresholds.
OAK-D Lite Stereo Depth,Sensor - Vision,Depth Range Max,12,m,Real,Conflict,See Depth Range Min note. Alternate official figure is 8 m.
OAK-D Lite Stereo Depth,Sensor - Vision,MinZ 480p Extended Disparity,0.2,m,Real,Datasheet,Closest measurable distance with extended disparity enabled.
OAK-D Lite Stereo Depth,Sensor - Vision,MinZ 480p Standard,0.375,m,Real,Datasheet,Datasheet gives 35-40 cm; midpoint used here.
OAK-D Lite Stereo Depth,Sensor - Vision,Depth Error Below 4 m,2,%,Real,Datasheet,Median absolute depth error.
OAK-D Lite Stereo Depth,Sensor - Vision,Depth Error 4 to 7 m,4,%,Real,Datasheet,Median absolute depth error.
OAK-D Lite Stereo Depth,Sensor - Vision,Depth Error 7 to 10 m,6,%,Real,Datasheet,Median absolute depth error.
OAK-D Lite Stereo Depth,Sensor - Vision,Depth Map Data Type,uint16,n/a,String,Datasheet,"1 LSB = 1 mm. A value of 0 means invalid/no measurement, not zero distance - filter explicitly."
OAK-D Lite Stereo Depth,Sensor - Vision,Depth Map Resolution,1,mm,Real,Datasheet,One least-significant bit equals one millimetre.
OAK-D Lite Stereo Depth,Sensor - Vision,Max Disparity Throughput,200,fps,Real,Datasheet,Stereo pipeline capability.
OAK-D Lite Stereo Depth,Sensor - Vision,Bandwidth at 640x480 30 fps,18.4,MB/s,Real,Calculated,640 x 480 x 2 bytes x 30 fps.
OAK-D Lite IMU (BMI270),Sensor - Inertial,Device,Bosch BMI270,n/a,String,Datasheet,VERIFY PRESENCE: all original Kickstarter OAK-D Lite units shipped without an IMU.
OAK-D Lite IMU (BMI270),Sensor - Inertial,Degrees of Freedom,6,count,Integer,Datasheet,3-axis accelerometer plus 3-axis gyroscope.
OAK-D Lite IMU (BMI270),Sensor - Inertial,Magnetometer Present,FALSE,n/a,Boolean,Datasheet,No absolute heading available from this device.
OAK-D Lite IMU (BMI270),Sensor - Inertial,On-Sensor Fusion Available,FALSE,n/a,Boolean,Datasheet,No quaternion/rotation vector on the BMI270 path in DepthAI.
