rowType,elementID,elementName,ownerPackage,owningBlock,stereotype,typeName,primitiveType,defaultValue,unitName,unitSymbol,quantityKind,multiplicity,provenance,documentation
ValueType,VT_Ampere,Ampere,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,ampere,A,electric current,,,Unit-bearing value type. Specializes Real; unit ampere (A); quantity kind electric current. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_AmpereHour,AmpereHour,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,ampere hour,A.h,electric charge,,,Unit-bearing value type. Specializes Real; unit ampere hour (A.h); quantity kind electric charge. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Baud,Baud,BillieBot::Hardware::ValueTypes,,ValueType,Integer,Integer,,baud,Bd,symbol rate,,,Unit-bearing value type. Specializes Integer; unit baud (Bd); quantity kind symbol rate. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Bit,Bit,BillieBot::Hardware::ValueTypes,,ValueType,Integer,Integer,,bit,bit,information content,,,Unit-bearing value type. Specializes Integer; unit bit (bit); quantity kind information content. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_CRate,CRate,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,C-rate,C,dimensionless ratio,,,Unit-bearing value type. Specializes Real; unit C-rate (C); quantity kind dimensionless ratio. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Centimetre,Centimetre,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,centimetre,cm,length,,,Unit-bearing value type. Specializes Real; unit centimetre (cm); quantity kind length. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_CountPerRevolution,CountPerRevolution,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,count per revolution,1/r,dimensionless count,,,Unit-bearing value type. Specializes Real; unit count per revolution (1/r); quantity kind dimensionless count. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Decibel,Decibel,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,decibel,dB,logarithmic level,,,Unit-bearing value type. Specializes Real; unit decibel (dB); quantity kind logarithmic level. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Degree,Degree,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,degree,deg,plane angle,,,Unit-bearing value type. Specializes Real; unit degree (deg); quantity kind plane angle. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_DegreeCelsius,DegreeCelsius,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,degree Celsius,degC,Celsius temperature,,,Unit-bearing value type. Specializes Real; unit degree Celsius (degC); quantity kind Celsius temperature. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_DegreePerSecond,DegreePerSecond,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,degree per second,deg/s,angular velocity,,,Unit-bearing value type. Specializes Real; unit degree per second (deg/s); quantity kind angular velocity. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_DegreePerSecondPerRootHertz,DegreePerSecondPerRootHertz,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,degree per second per root hertz,deg/s/sqrt(Hz),angular rate noise density,,,Unit-bearing value type. Specializes Real; unit degree per second per root hertz (deg/s/sqrt(Hz)); quantity kind angular rate noise density. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_FramePerSecond,FramePerSecond,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,frame per second,fps,frame rate,,,Unit-bearing value type. Specializes Real; unit frame per second (fps); quantity kind frame rate. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Gigabyte,Gigabyte,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,gigabyte,GB,information content,,,Unit-bearing value type. Specializes Real; unit gigabyte (GB); quantity kind information content. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Gram,Gram,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,gram,g,mass,,,Unit-bearing value type. Specializes Real; unit gram (g); quantity kind mass. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Hectopascal,Hectopascal,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,hectopascal,hPa,pressure,,,Unit-bearing value type. Specializes Real; unit hectopascal (hPa); quantity kind pressure. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Hertz,Hertz,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,hertz,Hz,frequency,,,Unit-bearing value type. Specializes Real; unit hertz (Hz); quantity kind frequency. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Inch,Inch,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,inch,in,length,,,Unit-bearing value type. Specializes Real; unit inch (in); quantity kind length. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Kelvin,Kelvin,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,kelvin,K,thermodynamic temperature,,,Unit-bearing value type. Specializes Real; unit kelvin (K); quantity kind thermodynamic temperature. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Kilobit,Kilobit,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,kilobit,kbit,information content,,,Unit-bearing value type. Specializes Real; unit kilobit (kbit); quantity kind information content. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Kilobyte,Kilobyte,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,kilobyte,kB,information content,,,Unit-bearing value type. Specializes Real; unit kilobyte (kB); quantity kind information content. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_KilobytePerSecond,KilobytePerSecond,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,kilobyte per second,kB/s,data rate,,,Unit-bearing value type. Specializes Real; unit kilobyte per second (kB/s); quantity kind data rate. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_KilogramForceCentimetre,KilogramForceCentimetre,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,kilogram-force centimetre,kgf.cm,moment of force,,,Unit-bearing value type. Specializes Real; unit kilogram-force centimetre (kgf.cm); quantity kind moment of force. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Kilohertz,Kilohertz,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,kilohertz,kHz,frequency,,,Unit-bearing value type. Specializes Real; unit kilohertz (kHz); quantity kind frequency. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_LSB,LSB,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,least significant bit,LSB,dimensionless count,,,Unit-bearing value type. Specializes Real; unit least significant bit (LSB); quantity kind dimensionless count. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_LSBPerDegree,LSBPerDegree,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,LSB per degree,LSB/deg,scale factor,,,Unit-bearing value type. Specializes Real; unit LSB per degree (LSB/deg); quantity kind scale factor. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_LSBPerDegreePerSecond,LSBPerDegreePerSecond,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,LSB per degree per second,LSB/(deg/s),scale factor,,,Unit-bearing value type. Specializes Real; unit LSB per degree per second (LSB/(deg/s)); quantity kind scale factor. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_LSBPerMetrePerSecondSquared,LSBPerMetrePerSecondSquared,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,LSB per metre per second squared,LSB/(m/s2),scale factor,,,Unit-bearing value type. Specializes Real; unit LSB per metre per second squared (LSB/(m/s2)); quantity kind scale factor. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_LSBPerMicrotesla,LSBPerMicrotesla,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,LSB per microtesla,LSB/uT,scale factor,,,Unit-bearing value type. Specializes Real; unit LSB per microtesla (LSB/uT); quantity kind scale factor. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_LSBPerMilliStandardGravity,LSBPerMilliStandardGravity,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,LSB per milli standard gravity,LSB/mg,scale factor,,,Unit-bearing value type. Specializes Real; unit LSB per milli standard gravity (LSB/mg); quantity kind scale factor. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_LSBPerStandardGravity,LSBPerStandardGravity,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,LSB per standard gravity,LSB/g,scale factor,,,Unit-bearing value type. Specializes Real; unit LSB per standard gravity (LSB/g); quantity kind scale factor. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_MegabytePerSecond,MegabytePerSecond,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,megabyte per second,MB/s,data rate,,,Unit-bearing value type. Specializes Real; unit megabyte per second (MB/s); quantity kind data rate. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Megahertz,Megahertz,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,megahertz,MHz,frequency,,,Unit-bearing value type. Specializes Real; unit megahertz (MHz); quantity kind frequency. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Megapixel,Megapixel,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,megapixel,MP,dimensionless count,,,Unit-bearing value type. Specializes Real; unit megapixel (MP); quantity kind dimensionless count. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Metre,Metre,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,metre,m,length,,,Unit-bearing value type. Specializes Real; unit metre (m); quantity kind length. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_MetrePerSecond,MetrePerSecond,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,metre per second,m/s,speed,,,Unit-bearing value type. Specializes Real; unit metre per second (m/s); quantity kind speed. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_MicroGPerRootHertz,MicroGPerRootHertz,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,micro standard gravity per root hertz,ug/sqrt(Hz),acceleration noise density,,,Unit-bearing value type. Specializes Real; unit micro standard gravity per root hertz (ug/sqrt(Hz)); quantity kind acceleration noise density. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Microfarad,Microfarad,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,microfarad,uF,capacitance,,,Unit-bearing value type. Specializes Real; unit microfarad (uF); quantity kind capacitance. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Micrometre,Micrometre,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,micrometre,um,length,,,Unit-bearing value type. Specializes Real; unit micrometre (um); quantity kind length. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Microtesla,Microtesla,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,microtesla,uT,magnetic flux density,,,Unit-bearing value type. Specializes Real; unit microtesla (uT); quantity kind magnetic flux density. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_MilliGPerRootHertz,MilliGPerRootHertz,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,milli standard gravity per root hertz,mg/sqrt(Hz),acceleration noise density,,,Unit-bearing value type. Specializes Real; unit milli standard gravity per root hertz (mg/sqrt(Hz)); quantity kind acceleration noise density. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_MilliStandardGravity,MilliStandardGravity,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,milli standard gravity,mg,acceleration,,,Unit-bearing value type. Specializes Real; unit milli standard gravity (mg); quantity kind acceleration. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Milliampere,Milliampere,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,milliampere,mA,electric current,,,Unit-bearing value type. Specializes Real; unit milliampere (mA); quantity kind electric current. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Millimetre,Millimetre,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,millimetre,mm,length,,,Unit-bearing value type. Specializes Real; unit millimetre (mm); quantity kind length. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Millisecond,Millisecond,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,millisecond,ms,time,,,Unit-bearing value type. Specializes Real; unit millisecond (ms); quantity kind time. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
