ImportOrder,ElementType,Name,Owner,TargetScope,Type,DefaultValue,Unit,RecommendedValueType,UnitLibraryHint,Lower,Upper,IdentificationKey,OriginalComponent,OriginalProperty,PropertyGroup,Category,Subsystem,Scope,Quantity,Provenance,Documentation,ModelingNote,SourceName,SourceURL
1.01,Block,OAKDLite,,BillieBotHardwareLibrary,,,,,,,,OAKDLite,Luxonis OAK-D Lite (Auto-Focus),,,Smart stereo camera,Perception,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: Luxonis OAK-D Lite (Auto-Focus). Category: Smart stereo camera; subsystem: Perception; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.02,Block,MLX90640ThermalCamera,,BillieBotHardwareLibrary,,,,,,,,MLX90640ThermalCamera,Adafruit MLX90640 55° Thermal Camera (PID 4407),,,Thermal imager,Perception,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: Adafruit MLX90640 55° Thermal Camera (PID 4407). Category: Thermal imager; subsystem: Perception; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.03,Block,RaspberryPiCameraModule3NoIR,,BillieBotHardwareLibrary,,,,,,,,RaspberryPiCameraModule3NoIR,Raspberry Pi Camera Module 3 NoIR (SC0873),,,Visible/NIR camera,Perception,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: Raspberry Pi Camera Module 3 NoIR (SC0873). Category: Visible/NIR camera; subsystem: Perception; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.04,Block,ReSpeakerXVF3800,,BillieBotHardwareLibrary,,,,,,,,ReSpeakerXVF3800,Seeed reSpeaker XVF3800 USB 4-Mic Array,,,Microphone array,Audio,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: Seeed reSpeaker XVF3800 USB 4-Mic Array. Category: Microphone array; subsystem: Audio; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.05,Block,SEN0253IMU,,BillieBotHardwareLibrary,,,,,,,,SEN0253IMU,DFRobot SEN0253 10-DOF IMU AHRS (BNO055 + BMP280),,,IMU + barometer,Perception / State Estimation,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: DFRobot SEN0253 10-DOF IMU AHRS (BNO055 + BMP280). Category: IMU + barometer; subsystem: Perception / State Estimation; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.06,Block,RPLIDARA1,,BillieBotHardwareLibrary,,,,,,,,RPLIDARA1,SLAMTEC RPLIDAR A1,,,2-D lidar,Perception / Navigation,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: SLAMTEC RPLIDAR A1. Category: 2-D lidar; subsystem: Perception / Navigation; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.07,Block,JetsonOrinNanoSuperDevKit,,BillieBotHardwareLibrary,,,,,,,,JetsonOrinNanoSuperDevKit,NVIDIA Jetson Orin Nano Super Developer Kit,,,Single-board AI computer,Compute & Comms,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: NVIDIA Jetson Orin Nano Super Developer Kit. Category: Single-board AI computer; subsystem: Compute & Comms; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.08,Block,RaspberryPi5,,BillieBotHardwareLibrary,,,,,,,,RaspberryPi5,Raspberry Pi 5 (4 GB),,,Single-board computer,Compute & Comms,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: Raspberry Pi 5 (4 GB). Category: Single-board computer; subsystem: Compute & Comms; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.09,Block,ArduinoNanoV3,,BillieBotHardwareLibrary,,,,,,,,ArduinoNanoV3,Arduino Nano V3 (ATmega328P),,,Microcontroller board,Compute & Comms / Mobility,on_robot_baseline,2,derived-from-master,BillieBot hardware component. Display name: Arduino Nano V3 (ATmega328P). Category: Microcontroller board; subsystem: Compute & Comms / Mobility; scope: on_robot_baseline; quantity: 2.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.10,Block,JGA25371Gearmotor,,BillieBotHardwareLibrary,,,,,,,,JGA25371Gearmotor,JGA25-371 12 V 130 RPM Gearmotor with Encoder,,,Encoder gearmotor,Mobility,on_robot_baseline,2,derived-from-master,BillieBot hardware component. Display name: JGA25-371 12 V 130 RPM Gearmotor with Encoder. Category: Encoder gearmotor; subsystem: Mobility; scope: on_robot_baseline; quantity: 2.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.11,Block,L298NMotorDriver,,BillieBotHardwareLibrary,,,,,,,,L298NMotorDriver,L298N Dual H-Bridge Motor Driver,,,Motor driver,Mobility,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: L298N Dual H-Bridge Motor Driver. Category: Motor driver; subsystem: Mobility; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.12,Block,DriveWheel68mm,,BillieBotHardwareLibrary,,,,,,,,DriveWheel68mm,Drive Wheel Ø68 mm,,,Wheel,Mobility,on_robot_baseline,2,derived-from-master,BillieBot hardware component. Display name: Drive Wheel Ø68 mm. Category: Wheel; subsystem: Mobility; scope: on_robot_baseline; quantity: 2.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.13,Block,CasterWheel,,BillieBotHardwareLibrary,,,,,,,,CasterWheel,Caster Wheel (model unspecified),,,Caster,Mobility,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: Caster Wheel (model unspecified). Category: Caster; subsystem: Mobility; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.14,Block,MAX98357AAudioAmplifier,,BillieBotHardwareLibrary,,,,,,,,MAX98357AAudioAmplifier,MAX98357A I²S Class-D Audio Amplifier,,,Audio amplifier,Audio,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: MAX98357A I²S Class-D Audio Amplifier. Category: Audio amplifier; subsystem: Audio; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.15,Block,Speaker3W,,BillieBotHardwareLibrary,,,,,,,,Speaker3W,3 W Speaker (model unspecified),,,Speaker,Audio,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: 3 W Speaker (model unspecified). Category: Speaker; subsystem: Audio; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.16,Block,Venom3SLiPoBattery,,BillieBotHardwareLibrary,,,,,,,,Venom3SLiPoBattery,Venom 3S LiPo Battery 11.1 V 4000 mAh 20C (repo baseline),,,Battery,Power,on_robot_repo_baseline,1,derived-from-master,BillieBot hardware component. Display name: Venom 3S LiPo Battery 11.1 V 4000 mAh 20C (repo baseline). Category: Battery; subsystem: Power; scope: on_robot_repo_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.17,Block,GeeekPiUSBCPDPowerBoard,,BillieBotHardwareLibrary,,,,,,,,GeeekPiUSBCPDPowerBoard,GeeekPi USB-C PD Power Board (exact SKU unspecified),,,DC power converter,Power,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: GeeekPi USB-C PD Power Board (exact SKU unspecified). Category: DC power converter; subsystem: Power; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.18,Block,GS2678BuckConverter,,BillieBotHardwareLibrary,,,,,,,,GS2678BuckConverter,DFRobot GS2678 DC-DC Converter Module (DFR0205),,,DC-DC buck converter,Power,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: DFRobot GS2678 DC-DC Converter Module (DFR0205). Category: DC-DC buck converter; subsystem: Power; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
