SignalID,Name,Category,Subcategory,Description,SentBy,ReceivedBy,Direction,Interface,Protocol,DataType,ROSMessageType,Units,Rate,RateBasis,PhysicalMedium,SystemBoundary,SysMLRepresentation,ImplementationStatus,EvidenceType,SourceFile,SourceLocation,Confidence,Notes
SIG-0001,Visible Scene Radiance,Optical,Radiation,Ambient visible-light radiance reflected from the apartment scene into the OAK-D Lite colour camera aperture.,Apartment Environment,OAK-D Lite,Inbound,OAK-D RGB camera optical aperture,Optical,optical radiance,,W/(m^2*sr),,Continuous physical interaction,Free-space visible light,External-to-BillieBot,Physical Interaction,Production,Inferred,billiebot_ws/src/billiebot_perception/billiebot_perception/oakd_dog_detector.py,"init_depthai_pipeline() ColorCamera, lines 118-125",Medium,"Not stated in the repository; inferred from the fact that a ColorCamera node is configured at 1080p with a 416x416 preview. Units are the physical quantity, not a repository value."
SIG-0002,Dog Reflected Visible Radiance,Optical,Radiation,"Visible light reflected from Billie's body into the OAK-D Lite colour camera, the physical basis of COCO-class dog detection.",Billie (Dog),OAK-D Lite,Inbound,OAK-D RGB camera optical aperture,Optical,optical radiance,,W/(m^2*sr),,Continuous physical interaction,Free-space visible light,External-to-BillieBot,Physical Interaction,Production,Inferred,billiebot_ws/src/billiebot_perception/billiebot_perception/oakd_dog_detector.py,"real_detect() COCO label 16 filter, lines 236-241",Medium,Inferred physical precondition for the implemented detector. DT-OAK-01 in the results document confirms live detection of the real dog.
SIG-0003,Stereo Scene Radiance,Optical,Radiation,"Visible/near-IR radiance reaching the OAK-D Lite left and right 400p mono imagers, the physical input to on-device stereo disparity.",Apartment Environment,OAK-D Lite,Inbound,OAK-D mono left/right optical apertures,Optical,optical radiance,,W/(m^2*sr),,Continuous physical interaction,Free-space visible light,External-to-BillieBot,Physical Interaction,Production,Inferred,billiebot_ws/src/billiebot_perception/billiebot_perception/oakd_dog_detector.py,"MonoCamera left/right THE_400_P, lines 127-138",Medium,Inferred from the configured stereo pair. Also configured in the bench publisher (billiebot_sensor_tests/oakd/oakd_bench_publisher.py).
SIG-0004,Near-IR and Visible Scene Radiance,Optical,Radiation,"Combined near-infrared and visible radiance entering the Pi Camera 3 NoIR, which has no IR-cut filter.",Apartment Environment,Pi Camera 3 NoIR,Inbound,NoIR camera optical aperture,Optical,optical radiance,,W/(m^2*sr),,Continuous physical interaction,Free-space visible + near-IR light,External-to-BillieBot,Physical Interaction,Production,Documentation,docs/md/BillieBot_Sensor_Specifications_Claude.md,NoIR colour behaviour design note,Medium,The specifications document states the missing IR-cut filter lets near-IR leak into all three Bayer channels. No IR illuminator exists (see Planned IR Illumination signal).
SIG-0005,Active 850 nm IR Illumination,Optical,Radiation,Near-infrared scene illumination that the NoIR night-vision path requires but that no fitted emitter currently provides.,IR Illuminator (not fitted),Apartment Environment,Outbound,IR LED board on 5 V accessory rail,Optical,optical irradiance,,W/m^2,,Unknown,Free-space near-IR light,BillieBot-to-External,Physical Interaction,Planned,Documentation,docs/md/BillieBot_System_Design.md,Section 4.1 'IR illumination gap'; SYS-PER-5,High,"Explicitly a known hardware gap: the design document says the NoIR camera has no emitter and proposes an 850 nm LED board switched by an Arduino GPIO + MOSFET. No pin, driver, or code exists in the repository."
SIG-0006,Lidar Laser Emission,Optical,Radiation,Rotating infrared laser pulse train emitted by the RPLidar A1 into the apartment for time-of-flight/triangulation ranging.,RPLidar A1,Apartment Environment,Outbound,Lidar optical window,Optical,modulated optical pulse train,,,,Continuous physical interaction; emitter timing not stated in repository,Free-space infrared light,BillieBot-to-External,Physical Interaction,Production,Inferred,billiebot_ws/src/billiebot_bringup/config/lidar.yaml,rplidar_node ros__parameters,Medium,"Inferred from the presence of a configured RPLidar A1 driver. The repository configures only the serial port, baud, frame_id, angle_compensate and scan_mode -- no optical parameters."
SIG-0007,Lidar Range Return,Optical,Radiation,"Backscattered laser energy from apartment surfaces returning to the RPLidar A1 receiver, from which per-beam range is derived.",Apartment Environment,RPLidar A1,Inbound,Lidar optical window,Optical,optical return intensity,,,,Continuous physical interaction,Free-space infrared light,External-to-BillieBot,Physical Interaction,Production,Inferred,billiebot_ws/src/billiebot_bringup/config/lidar.yaml,rplidar_node ros__parameters,Medium,Inferred physical counterpart of the emission signal. The repository contains no lidar firmware or optical model.
SIG-0008,Dog Body Thermal IR Radiance,Thermal,Radiation,Long-wave infrared radiance emitted by Billie's body and received by the MLX90640 32x24 thermopile array.,Billie (Dog),MLX90640,Inbound,MLX90640 55-degree optical aperture,Optical,LWIR radiance,,W/(m^2*sr),,Continuous physical interaction,Free-space LWIR radiation,External-to-BillieBot,Physical Interaction,Production,Inferred,billiebot_ws/src/billiebot_perception/billiebot_perception/thermal_node.py,"detect_warm_blob() dog_temp_min/max 30-40 degC, lines 110-137",Medium,Inferred from the implemented 30-40 degC warm-blob gate and SYS-PER-3. Bench test DT-THM-01 demonstrated warm-target detection to 1.5 m.
SIG-0009,Scene Thermal IR Radiance,Thermal,Radiation,Background long-wave infrared radiance from apartment surfaces filling the non-dog pixels of the MLX90640 array.,Apartment Environment,MLX90640,Inbound,MLX90640 55-degree optical aperture,Optical,LWIR radiance,,W/(m^2*sr),,Continuous physical interaction,Free-space LWIR radiation,External-to-BillieBot,Physical Interaction,Production,Inferred,billiebot_ws/src/billiebot_perception/billiebot_perception/thermal_node.py,"publish_thermal_image() 32x24 frame, lines 97-108",Medium,"Inferred: every pixel of the published 32FC1 frame is a temperature, so the background scene must be radiating into the array."
SIG-0010,Dog Bark Acoustic Pressure,Acoustic,Sound,"Airborne acoustic pressure wave produced when Billie barks, whines or howls, incident on the ReSpeaker microphone ports.",Billie (Dog),ReSpeaker XVF3800,Inbound,XVF3800 microphone sound inlet (rear face),Acoustic,acoustic pressure waveform,,Pa,,Event-driven,Air,External-to-BillieBot,Physical Interaction,Production,Inferred,billiebot_ws/src/billiebot_audio/billiebot_audio/audio_classifier.py,"YAMNET_DOG_CLASSES Bark/Howl/Whimper mapping, lines 37-45",Medium,Inferred physical origin of the classified event. Test DT-AUD-01 in the results document records a live Billie bark producing a 0.992-confidence Animal/Dog classification.
SIG-0011,Ambient Acoustic Pressure,Acoustic,Sound,"General apartment sound field (speech, appliances, impulses) incident on the ReSpeaker array, the source of LOUD_NOISE events and of false positives.",Apartment Environment,ReSpeaker XVF3800,Inbound,XVF3800 microphone sound inlet (rear face),Acoustic,acoustic pressure waveform,,Pa,,Continuous physical interaction,Air,External-to-BillieBot,Physical Interaction,Production,Test,docs/md/BillieBot_Sensor_Bench_Test_Results.md,UT-AUD-01 quiet-room / speech / impulse recordings,High,"UT-AUD-01 recorded ambient, speech and impulse conditions; speech and impulse exceeded the clipping threshold."
SIG-0012,Speaker Acoustic Output,Acoustic,Sound,Status chime or spoken phrase radiated from the 3 W speaker into the apartment; rate-limited for dog welfare.,Speaker,Apartment Environment,Outbound,Speaker cone,Acoustic,acoustic pressure waveform,,Pa,,Event-driven; goals rejected within min_interval_sec (10 s default),Air,BillieBot-to-External,Physical Interaction,Production,Source Code,billiebot_ws/src/billiebot_audio/billiebot_audio/speaker_node.py,goal_callback() rate limit lines 48-56; aplay invocation ~line 105,Medium,"speaker_node plays WAV files via 'aplay -D plughw:0,0'. Volume is clamped to max_volume (0.5). SYS-PLT-6 reserves the speaker for status chimes only in the MVP. The physical radiation itself is inferred from the implemented playback path."
SIG-0012,Speaker Acoustic Output,Acoustic,Sound,Status chime or spoken phrase radiated from the 3 W speaker into the apartment; rate-limited for dog welfare.,Speaker,Billie (Dog),Outbound,Speaker cone,Acoustic,acoustic pressure waveform,,Pa,,Event-driven; goals rejected within min_interval_sec (10 s default),Air,BillieBot-to-External,Physical Interaction,Production,Source Code,billiebot_ws/src/billiebot_audio/billiebot_audio/speaker_node.py,goal_callback() rate limit lines 48-56; aplay invocation ~line 105,Medium,"speaker_node plays WAV files via 'aplay -D plughw:0,0'. Volume is clamped to max_volume (0.5). SYS-PLT-6 reserves the speaker for status chimes only in the MVP. The physical radiation itself is inferred from the implemented playback path."
SIG-0013,Atmospheric Pressure,Environmental,Measurement,Ambient absolute air pressure acting on the BMP280 sensing element.,Apartment Environment,BMP280,Inbound,BMP280 pressure port,,absolute pressure,,Pa,,Continuous physical interaction,Air,External-to-BillieBot,Physical Interaction,Production,Firmware,billiebot_ws/src/billiebot_sensor_tests/firmware/sensor_nano/sensor_nano.ino,"sampleBarometer() plausibility band 30000-110000 Pa, lines 494-523",High,The firmware validates the reading against a 30-110 kPa acceptance band before transmitting it.
SIG-0014,Ambient Temperature,Environmental,Measurement,"Ambient air temperature at the BMP280 die, transmitted alongside pressure.",Apartment Environment,BMP280,Inbound,BMP280 temperature element,,temperature,,degC,,Continuous physical interaction,Air,External-to-BillieBot,Physical Interaction,Production,Firmware,billiebot_ws/src/billiebot_sensor_tests/firmware/sensor_nano/sensor_nano.ino,"sampleBarometer() plausibility band -40 to 85 degC, lines 500-518",High,"Die temperature, not a room-air measurement in the metrological sense; the firmware treats it only as a plausibility-checked companion to pressure."
SIG-0015,Earth Magnetic Field,Environmental,Measurement,Local geomagnetic flux density (plus robot-induced distortion) sensed by the BNO055 magnetometer and used by its NDOF fusion.,Apartment Environment,BNO055,Inbound,BNO055 magnetometer element,,magnetic flux density,,uT,,Continuous physical interaction,Free space,External-to-BillieBot,Physical Interaction,Test/Bench Only,Firmware,billiebot_ws/src/billiebot_sensor_tests/firmware/sensor_nano/sensor_nano.ino,"sampleMagnetometer() VECTOR_MAGNETOMETER, lines 455-467",High,The firmware header notes NDOF places the magnetometer in the fusion loop. BLK-13 in the bench test plan flags motor and speaker magnetics as a distortion risk and offers IMUPLUS as an alternative mode.
SIG-0016,Chassis Specific Force,Mechanical,Measurement,Specific force (gravity plus chassis linear acceleration) transmitted through the structure to the BNO055 accelerometer.,Chassis Structure,BNO055,Internal,BNO055 accelerometer element,Mechanical,specific force,,m/s^2,,Continuous physical interaction,Mechanical structure,Internal,Physical Interaction,Test/Bench Only,Firmware,billiebot_ws/src/billiebot_sensor_tests/firmware/sensor_nano/sensor_nano.ino,"sampleImu() ACC_DATA_X_LSB 0x08, lines 415-422 and file header lines 24-29",High,"Deliberately includes gravity (register 0x08, not VECTOR_LINEARACCEL 0x28), because the EKF sets imu0_remove_gravitational_acceleration. A compile-time static_assert enforces this."
SIG-0017,Chassis Angular Rate,Mechanical,Measurement,Body-frame angular rate of the chassis transmitted through the structure to the BNO055 gyroscope.,Chassis Structure,BNO055,Internal,BNO055 gyroscope element,Mechanical,angular velocity,,rad/s,,Continuous physical interaction,Mechanical structure,Internal,Physical Interaction,Test/Bench Only,Firmware,billiebot_ws/src/billiebot_sensor_tests/firmware/sensor_nano/sensor_nano.ino,"sampleImu() GYR_DATA_X_LSB 0x14, lines 406-413",High,Firmware converts 16 LSB/dps to rad/s before transmission.
SIG-0018,Left Motor Electromagnetic Torque,Mechanical,Torque,Torque developed on the left JGA25-371 rotor in response to the L298N drive voltage.,Left Encoder Motor,Left Gearbox,Internal,Motor rotor/gearbox input shaft,Mechanical,torque,,N*m,,Continuous physical interaction,Motor shaft,Internal,Physical Interaction,Production,Inferred,docs/md/BillieBot_System_Design.md,"BDD-02 Mobility Subsystem, JGA25-371 12 V 130 rpm",Medium,"Inferred from the specified gearmotor; the repository contains no torque constant, gear ratio value, or motor model. Stall current is documented as approximately 1.2-2 A each."
SIG-0019,Left Wheel Shaft Torque,Mechanical,Torque,Gearbox output torque delivered to the left 68 mm wheel hub.,Left Gearbox,Left Wheel,Internal,Wheel hub,Mechanical,torque,,N*m,,Continuous physical interaction,Motor shaft,Internal,Physical Interaction,Production,Inferred,docs/md/BillieBot_System_Design.md,BDD-02 whlL/whlR Wheel 68 mm,Medium,Inferred. wheel_radius 0.034 m is the only wheel value the software carries; no gear ratio appears anywhere in the repository.
SIG-0020,Left Wheel Angular Velocity (Physical),Mechanical,Velocity,"Actual rotational speed of the left wheel about its axle, the physical quantity the encoder measures and the PID loop regulates.",Left Wheel,Left Encoder,Internal,Wheel axle,Mechanical,angular velocity,,rad/s,,Continuous physical interaction,Motor shaft,Internal,Physical Interaction,Production,Inferred,billiebot_ws/src/billiebot_base/billiebot_base/base_bridge.py,"update() left_vel/right_vel computation, lines 429-430",Medium,The software-side estimate of this quantity is a separate signal (Wheel Angular Velocity Estimate). Design doc gives v_max approximately 0.46 m/s at 130 rpm.
SIG-0020,Left Wheel Angular Velocity (Physical),Mechanical,Velocity,"Actual rotational speed of the left wheel about its axle, the physical quantity the encoder measures and the PID loop regulates.",Left Wheel,Floor/Ground,Internal,Wheel axle,Mechanical,angular velocity,,rad/s,,Continuous physical interaction,Motor shaft,Internal,Physical Interaction,Production,Inferred,billiebot_ws/src/billiebot_base/billiebot_base/base_bridge.py,"update() left_vel/right_vel computation, lines 429-430",Medium,The software-side estimate of this quantity is a separate signal (Wheel Angular Velocity Estimate). Design doc gives v_max approximately 0.46 m/s at 130 rpm.
SIG-0021,Left Wheel Traction Force,Mechanical,Force,Tangential friction force exchanged at the left wheel/floor contact patch that propels the chassis.,Left Wheel,Floor/Ground,Outbound,Wheel-floor contact patch,Mechanical,force,,N,,Continuous physical interaction,Wheel-floor contact,BillieBot-to-External,Physical Interaction,Production,Inferred,docs/md/BillieBot_System_Design.md,"Section 4.3, rug edges / chair legs traction discussion",Low,"Purely inferred. No friction coefficient, wheel load, or traction model appears in the repository. Architecturally important because odometry accuracy depends on non-slip rolling."
SIG-0022,Left Wheel Ground Reaction Force,Mechanical,Force,"Normal reaction force from the floor supporting the left wheel, completing the wheel/ground contact pair.",Floor/Ground,Left Wheel,Inbound,Wheel-floor contact patch,Mechanical,force,,N,,Continuous physical interaction,Wheel-floor contact,External-to-BillieBot,Physical Interaction,Production,Inferred,docs/md/BillieBot_System_Design.md,Section 4.3 two-deck chassis / low CG discussion,Low,"Inferred. No mass, weight distribution, or wheel-load figure exists in the repository; MEASURE_ME.md asks for wheel radius under load, which implies a load exists but does not quantify it."
SIG-0023,Left Encoder Shaft Rotation,Mechanical,Position,Rotation of the left motor shaft past the integrated quadrature encoder disc.,Left Encoder Motor,Left Encoder,Internal,Encoder disc / motor shaft,Mechanical,angular position,,rad,,Continuous physical interaction,Motor shaft,Internal,Physical Interaction,Production,Documentation,docs/md/BillieBot_System_Design.md,BDD-02 'integrated quadrature encoder',Medium,"The encoder is integrated in the JGA25-371, so this rotation is pre-gearbox. encoder_ticks_per_rev is 2000.0 and MEASURE_ME.md flags it as uncalibrated (alternatives 1974.7, 1779.0 in the reference code)."
SIG-0024,Right Motor Electromagnetic Torque,Mechanical,Torque,Torque developed on the right JGA25-371 rotor in response to the L298N drive voltage.,Right Encoder Motor,Right Gearbox,Internal,Motor rotor/gearbox input shaft,Mechanical,torque,,N*m,,Continuous physical interaction,Motor shaft,Internal,Physical Interaction,Production,Inferred,docs/md/BillieBot_System_Design.md,"BDD-02 Mobility Subsystem, JGA25-371 12 V 130 rpm",Medium,"Inferred from the specified gearmotor; the repository contains no torque constant, gear ratio value, or motor model. Stall current is documented as approximately 1.2-2 A each."
SIG-0025,Right Wheel Shaft Torque,Mechanical,Torque,Gearbox output torque delivered to the right 68 mm wheel hub.,Right Gearbox,Right Wheel,Internal,Wheel hub,Mechanical,torque,,N*m,,Continuous physical interaction,Motor shaft,Internal,Physical Interaction,Production,Inferred,docs/md/BillieBot_System_Design.md,BDD-02 whlL/whlR Wheel 68 mm,Medium,Inferred. wheel_radius 0.034 m is the only wheel value the software carries; no gear ratio appears anywhere in the repository.
SIG-0026,Right Wheel Angular Velocity (Physical),Mechanical,Velocity,"Actual rotational speed of the right wheel about its axle, the physical quantity the encoder measures and the PID loop regulates.",Right Wheel,Right Encoder,Internal,Wheel axle,Mechanical,angular velocity,,rad/s,,Continuous physical interaction,Motor shaft,Internal,Physical Interaction,Production,Inferred,billiebot_ws/src/billiebot_base/billiebot_base/base_bridge.py,"update() left_vel/right_vel computation, lines 429-430",Medium,The software-side estimate of this quantity is a separate signal (Wheel Angular Velocity Estimate). Design doc gives v_max approximately 0.46 m/s at 130 rpm.
