BlockName,PropertyName,Type,DefaultValue,Documentation
Stereo Camera BB,role,String,Primary dog detector camera.,
Stereo Camera BB,size,String,,
Stereo Camera BB,mass,Real,,
Stereo Camera BB,inputVoltage,Real,,
Stereo Camera BB,typicalCurrent,Real,,
Stereo Camera BB,typicalPower,Real,,
Stereo Camera BB,physicalInterface,String,USB-C to USB 3,
Stereo Camera BB,commInterface,String,serial,
Stereo Camera BB,rosPublishRate,Real,5,
Stereo Camera BB,rosTopicsPublished,String,,
Stereo Camera BB,rosTopicsSubscribed,String,,
Stereo Camera BB,depthAccuracy,String,,
Stereo Camera BB,depthRange,String,,
OAK-D Lite - COMPLETE,role,String,Primary dog detector camera.,
OAK-D Lite - COMPLETE,size,String,91 x 28 x 17.5,
OAK-D Lite - COMPLETE,mass,Real,61,
OAK-D Lite - COMPLETE,inputVoltage,Real,5,
OAK-D Lite - COMPLETE,typicalCurrent,Real,1,
OAK-D Lite - COMPLETE,typicalPower,Real,5,
OAK-D Lite - COMPLETE,physicalInterface,String,USB-C to USB 3,USB 3 preferred for concurrent RGB/depth streams.
OAK-D Lite - COMPLETE,commInterface,String,serial,
OAK-D Lite - COMPLETE,rosPublishRate,Real,5,OAK-D dog detector publish rate.
OAK-D Lite - COMPLETE,rosTopicsPublished,String,,
OAK-D Lite - COMPLETE,rosTopicsSubscribed,String,,
OAK-D Lite - COMPLETE,depthAccuracy,String,4,Median absolute depth error at short range; exact distance bands vary among official references.
OAK-D Lite - COMPLETE,idealDepthRange,String,0.8 to 12,Luxonis documentation varies with resolution/disparity mode; characterize final BillieBot configuration.
OAK-D Lite - COMPLETE,rgbSensorModel,String,Sony IMX214,Center color camera.
OAK-D Lite - COMPLETE,rgbResolution,String,4208 x 3120,Approximately 13.1 MP native active image.
OAK-D Lite - COMPLETE,rgbPixelPitch,String,1.12 x 1.12,Pixel pitch.
OAK-D Lite - COMPLETE,rgbFovDiagonal,Real,81,Approximate diagonal field of view.
OAK-D Lite - COMPLETE,rgbFovHorizontal,Real,69,Approximate horizontal field of view.
OAK-D Lite - COMPLETE,rgbFovVertical,Real,54,Approximate vertical field of view.
OAK-D Lite - COMPLETE,rgbFocalLength,Real,3.37,Approximate effective focal length.
OAK-D Lite - COMPLETE,rgbFNumber,Real,2.2,Lens f-number.
OAK-D Lite - COMPLETE,stereoSensorModel,String,2 x OmniVision OV7251,Left/right monochrome global-shutter cameras.
OAK-D Lite - COMPLETE,stereoResolution,String,640 x 480,Per mono camera.
OAK-D Lite - COMPLETE,stereoPixelPitch,String,3.0 x 3.0,Pixel pitch.
OAK-D Lite - COMPLETE,stereoFovDiagonal,Real,86,Approximate diagonal field of view.
OAK-D Lite - COMPLETE,stereoFovHorizontal,Real,73,Approximate horizontal field of view.
OAK-D Lite - COMPLETE,stereoFovVertical,Real,58,Approximate vertical field of view.
OAK-D Lite - COMPLETE,stereoFocusRange,String,0.065 to infinity,Fixed focus.
OAK-D Lite - COMPLETE,stereoBaseline,Real,75,Physical baseline between mono cameras.
OAK-D Lite - COMPLETE,depthOutputFormat,String,uint16,Default depth image representation.
OAK-D Lite,role,String,Primary dog detector camera.,
OAK-D Lite,size,String,91 x 28 x 17.5,
OAK-D Lite,mass,Real,61,
OAK-D Lite,inputVoltage,Real,5,
OAK-D Lite,typicalCurrent,Real,1,
OAK-D Lite,typicalPower,Real,5,
OAK-D Lite,physicalInterface,String,USB-C to USB 3,USB 3 preferred for concurrent RGB/depth streams.
OAK-D Lite,commInterface,String,serial,
OAK-D Lite,rosPublishRate,Real,5,OAK-D dog detector publish rate.
OAK-D Lite,rosTopicsPublished,String,,
OAK-D Lite,rosTopicsSubscribed,String,,
OAK-D Lite,depthAccuracy,String,4,Median absolute depth error at short range; exact distance bands vary among official references.
OAK-D Lite,idealDepthRange,String,0.8 to 12,Luxonis documentation varies with resolution/disparity mode; characterize final BillieBot configuration.
Sony IMX214,role,String,OAK-D Lite RGB Sensor,Center color camera.
Sony IMX214,rgbResolution,String,4208 x 3120,Approximately 13.1 MP native active image.
Sony IMX214,rgbPixelPitch,String,1.12 x 1.12,Pixel pitch.
Sony IMX214,rgbFovDiagonal,Real,81,Approximate diagonal field of view.
Sony IMX214,rgbFovHorizontal,Real,69,Approximate horizontal field of view.
Sony IMX214,rgbFovVertical,Real,54,Approximate vertical field of view.
Sony IMX214,rgbFocalLength,Real,3.37,Approximate effective focal length.
Sony IMX214,rgbFNumber,Real,2.2,Lens f-number.
OmniVision OV7251,role,String,OAK-D Lite Stereo Sensor,Left/right monochrome global-shutter cameras.
OmniVision OV7251,stereoResolution,String,640 x 480,Per mono camera.
OmniVision OV7251,stereoPixelPitch,String,3.0 x 3.0,Pixel pitch.
OmniVision OV7251,stereoFovDiagonal,Real,86,Approximate diagonal field of view.
OmniVision OV7251,stereoFovHorizontal,Real,73,Approximate horizontal field of view.
OmniVision OV7251,stereoFovVertical,Real,58,Approximate vertical field of view.
OmniVision OV7251,stereoFocusRange,String,0.065 to infinity,Fixed focus.
OmniVision OV7251,stereoBaseline,Real,75,Physical baseline between mono cameras.
OmniVision OV7251,depthOutputFormat,String,uint16,Default depth image representation.
IR Camera BB,role,String,Secondary dog detector camera.,
IR Camera BB,size,String,,Adafruit breakout dimensions.
IR Camera BB,mass,Real,,
IR Camera BB,inputVoltage,Real,,On-board regulator and level shifting accepts either 3.3 or 5 V; sensor uses 3.3 V.
IR Camera BB,typicalCurrent,Real,,MLX90640 sensor IC.
IR Camera BB,typicalPower,Real,,3.3 V x 18 mA.
IR Camera BB,physicalInterface,String,,
IR Camera BB,commInterface,String,,Slave device.
IR Camera BB,rosPublishRate,Real,,
IR Camera BB,rosTopicsPublished,String,,
IR Camera BB,rosTopicsSubscribed,String,,
IR Camera BB,imageAcquisitionRate,Real,,
IR Camera BB,temperatureRange,String,,
IR Camera BB,temperatureAccuracy,Real,,
IR Camera BB,nETD,Real,,
IR Camera BB,arrayFormat,String,,
IR Camera BB,pixelCount,Integer,,
IR Camera BB,fovHorizontal,Real,,
IR Camera BB,fovVertical,Real,,
MLX90640 - COMPLETE,role,String,Secondary dog detector camera.,
MLX90640 - COMPLETE,size,String,25.7 x 17.7 x 16.0,Adafruit breakout dimensions.
MLX90640 - COMPLETE,mass,Real,3.5,
MLX90640 - COMPLETE,inputVoltage,Real,5,On-board regulator and level shifting accepts either 3.3 or 5 V; sensor uses 3.3 V.
MLX90640 - COMPLETE,typicalCurrent,Real,0.018,MLX90640 sensor IC.
MLX90640 - COMPLETE,typicalPower,Real,0.06,3.3 V x 18 mA.
MLX90640 - COMPLETE,physicalInterface,String,STEMMA QT,
MLX90640 - COMPLETE,commInterface,String,I2C,Slave device.
MLX90640 - COMPLETE,rosPublishRate,Real,4,Current thermal node publish rate; matches ~4 full images/s target.
MLX90640 - COMPLETE,rosTopicsPublished,String,,
MLX90640 - COMPLETE,rosTopicsSubscribed,String,,
MLX90640 - COMPLETE,imageAcquisitionRate,Real,4,Configured image acquisition rate.
MLX90640 - COMPLETE,refreshRate,Real,8,Configured refresh is subpage rate.
MLX90640 - COMPLETE,effectiveFullImageRateRatio,Real,0.5,Full thermal frame requires two subpages.
MLX90640 - COMPLETE,absoluteAccuracy,Real,2,Adafruit product-level figure +/- 2 degC over approximately 0–100 °C; depends on settled/isothermal conditions and target filling pixel FOV.
MLX90640 - COMPLETE,netdTypicalAt1hz,Real,0.25,BAB 55° variant average NETD at 1 Hz; preferred over generic 0.1 K figures for this exact lens variant.
MLX90640 - COMPLETE,sensorModel,String,Melexis MLX90640ESF-BAB-000-TU,55° x 35° BAB lens variant.
MLX90640 - COMPLETE,arrayFormat,String,32 x 24,768 native thermal pixels.
MLX90640 - COMPLETE,pixelCount,Integer,768,32 x 24 array.
MLX90640 - COMPLETE,fovHorizontal,Real,55,Typical.
MLX90640 - COMPLETE,fovVertical,Real,35,Typical.
